filename,clause_name,rank,similarity_score,chunk_id,evidence_text
ALAMOGORDOFINANCIALCORP_12_16_1999-EX-1-AGENCY AGREEMENT.txt,Anti-Assignment,2,0.40088844,90,"(a) The Company, the MHC and the Bank jointly and severally agree to indemnify and hold harmless the Agent, its respective officers and directors, employees and agents, and each person, if any, who controls the Agent within the meaning of Section 15 of the 1933 Act or Section 20(a) of the 1934 Act, against any and all loss, liability, claim, damage or expense whatsoever (including but not limited to settlement expenses), joint or several, that the Agent or any of them may suffer or to which the Agent and any such persons may become subject under all applicable federal or state laws or otherwise, and to promptly reimburse the Agent and any such persons upon written demand for any expense (including reasonable fees and disbursements of counsel) incurred by the Agent or any of them in connection with investigating, preparing or defending any actions, proceedings or claims (whether commenced or threatened) to the extent such losses, claims, damages, liabilities or actions: (i) arise out of or are based upon any untrue statement or alleged untrue statement of a material fact contained in the Registration Statement (or any amendment or supplement thereto), preliminary or final Prospectus (or any amendment or supplement thereto), the MHC Application (or any amendment or supplement thereto), or any instrument or document executed by the Company, the MHC or the Bank or based upon written information supplied by the Company, the MHC or the Bank filed in any state or jurisdiction to register or qualify any or all of the Shares or to claim an exemption therefrom, or provided to any state or jurisdiction to exempt the Company as a broker-dealer or its officers, directors and employees as broker-dealers or agent, under the securities laws thereof (collectively, the ""Blue Sky Application""), or any document, advertisement, oral statement or communication (""Sales Information"") prepared, made or executed by or on behalf of the Company, the MHC or the Bank with their consent or based upon written or oral information furnished by or on behalf of the Company, the MHC or the Bank, whether or not filed in any jurisdiction, in order to qualify or register the Shares or to claim an exemption therefrom under the securities laws thereof; (ii) arise out of or are based upon the omission or alleged omission to state in any of the foregoing documents or information, a material fact required to be stated therein or necessary to make the statements therein, in light of the circumstances under which they were made, not misleading; or (iii) arise from any theory of liability whatsoever relating to or arising from or based upon the Registration Statement (or any amendment or supplement thereto), preliminary or final Prospectus (or any amendment or supplement thereto), the MHC Application 33 (or any amendment or supplement thereto), any Blue Sky Application or Sales Information or other documentation distributed in connection with the Offering; provided, however, that no indemnification is required under this paragraph (a) to the extent such losses, claims, damages, liabilities or actions arise out of or are based upon any untrue material statement or alleged untrue material statement in, or material omission or alleged material omission from, the Registration Statement (or any amendment or supplement thereto), preliminary or final Prospectus (or any amendment or supplement thereto), the MHC Application (or any amendment or supplement thereto), any Blue Sky Application or Sales Information made in reliance upon and in conformity with information furnished in writing to the Company, the MHC or the Bank by the Agent or its counsel regarding the Agent provided, that it is agreed and understood that the only information furnished in writing to the Company, the MHC or the Bank by the Agent regarding the Agent is set forth in the Prospectus; and, provided further, that such indemnification shall be to the extent permitted by the Commissioner, the OTS, the FDIC and the Board of Governors of the Federal Reserve."
ALAMOGORDOFINANCIALCORP_12_16_1999-EX-1-AGENCY AGREEMENT.txt,Anti-Assignment,3,0.398318,62,"To such counsel's Actual Knowledge, upon the issuance of the Shares, good title to the Shares will be transferred by the Company to the purchasers thereof against payment therefor, subject to such claims as may be asserted against the purchasers thereof by third-party claimants."
ALAMOGORDOFINANCIALCORP_12_16_1999-EX-1-AGENCY AGREEMENT.txt,Revenue/Profit Sharing,1,0.42807043,10,"the Agent will be paid a fee not to exceed 5.5% of the aggregate Purchase Price of the Shares sold by them. the Agent will pass onto selected broker-dealers, who assist in the syndicated community, an amount competitive with gross underwriting discounts changed at such time for comparable amounts of stock sold at a comparable price per share in a similar market environment. Fees with respect to purchases affected with the assistance of a broker/dealer other than the Agent shall be transmitted by the Agent to such broker/dealer. The decision to utilize selected broker-dealers will be made by the Bank upon consultation with the Agent. In the event, with respect to any purchases of Shares, fees are paid pursuant to this subparagraph 2(c), such fees shall be in lieu of, and not in addition to, payment pursuant to subparagraph 2(a) and 2(b)."
ALAMOGORDOFINANCIALCORP_12_16_1999-EX-1-AGENCY AGREEMENT.txt,Revenue/Profit Sharing,2,0.40200216,11,"(d) The Company will bear those expenses of the proposed offering customarily borne by issuers, including, without limitation, regulatory filing fees, ""Blue Sky,"" and NASD filing and registration fees; the fees of the Company's accountants, attorneys, appraiser, transfer agent and registrar, printing, mailing and marketing and syndicate expenses associated with the Offering; the fees set forth in Section 2; and fees for ""Blue Sky"" legal work. If the Agent incurs expenses on behalf of the Company, the Company will reimburse the Agent for such expenses. The Agent shall be reimbursed for reasonable out-of-pocket expenses, including costs of travel, meals and lodging, photocopying, telephone, facsimile and couriers. The Agent shall also be reimbursed for its fees of underwriter's counsel (including counsel's out-of-pocket expenses) not to exceed $35,000. The selection of such counsel will be done by the Agent, after consultation with the Bank. Section 3. Prospectus; Offering. The Shares are to be initially offered in the Offering at the Purchase Price as defined and set forth on the cover page of the Prospectus. 4 Section 4."
ALAMOGORDOFINANCIALCORP_12_16_1999-EX-1-AGENCY AGREEMENT.txt,Revenue/Profit Sharing,3,0.3937751,2,"To the extent Shares remain unsold in the Subscription Offering, the Company is offering for sale in a community offering (the ""Community Offering"" and when referred to together with the Subscription Offering, the ""Subscription and Community Offering"") the Shares not so subscribed for or ordered in the Subscription Offering to members of the general public, with preference given to natural persons residing in the New Mexico counties of Otero and Lincoln (""Other Subscribers""), (all such offerees being referred to in the aggregate as ""Eligible Offerees""). It is anticipated that shares not subscribed for in the Subscription and Community Offering will be offered to certain members of the general public on a best efforts basis through a selected dealers arrangement (the ""Syndicated Community Offering"") (the Subscription Offering, Community Offering and Syndicated Community Offering are collectively referred to as the ""Offering"")."
ALAMOGORDOFINANCIALCORP_12_16_1999-EX-1-AGENCY AGREEMENT.txt,Minimum Commitment,1,0.40163612,8,"If all conditions precedent to the consummation of the Offering, including, without limitation, the sale of all Shares required by the Plan to be sold, are satisfied, the Company agrees to issue, or have issued, the Shares sold in the Offering and to release for delivery certificates for such Shares on the Closing Date (as hereinafter defined) against payment to the Company by any means authorized by the Plan; provided, however, that no funds shall be released to the Company until the conditions specified in Section 7 hereof shall have been complied with to the reasonable satisfaction of the Agent and their counsel. The release of Shares against payment therefor shall be made on a date and at a place acceptable to the Company, the MHC, the Bank and the Agent. Certificates for shares shall be delivered directly to the purchasers in accordance with their directions."
ALAMOGORDOFINANCIALCORP_12_16_1999-EX-1-AGENCY AGREEMENT.txt,Minimum Commitment,2,0.38823497,56,"Whether or not the Offering is completed or the sale of the Shares by the Company is consummated, the Company, the MHC and the Bank jointly and severally agree to pay or reimburse the Agent for the Company, the MHC and the Bank have agreed to reimburse the Agent for its out-of-pocket expenses, and its legal fees (as specified in Section 2) and to indemnify the Agent against certain claims or liabilities, including certain liabilities under the Securities Act, and will contribute to payments the Agent may be required to make in connection with any such claims or liabilities; and the fees set forth under Section 2. In the event the Company is unable to sell a minimum of 708,050 Shares, the Company, the MHC and the Bank shall promptly reimburse the Agent in accordance with Section 2 hereof. Section 7. Conditions to the Agent's Obligations."
ALAMOGORDOFINANCIALCORP_12_16_1999-EX-1-AGENCY AGREEMENT.txt,Minimum Commitment,3,0.3776589,3,"It is acknowledged that the purchase of Shares in the Offering is subject to the maximum and minimum purchase limitations as described in the Plan and that the Company and the Bank may reject, in whole or in part, any orders received in the Community Offering or Syndicated Community Offering. The Company will issue the Shares at a purchase price of $10.00 per share (the ""Purchase Price""). The Company has filed with the Securities and Exchange Commission (the ""Commission"") a registration statement on Form S-1 (File No. 333- ) (the ""Registration Statement"") containing a prospectus relating to the Offering for the registration of the Shares under the Securities Act of 1933 (the ""1933 Act""), and has filed such amendments thereof and such amended prospectuses as may have been required to the date hereof. The term ""Registration Statement"" shall include all exhibits thereto, as amended, including post-effective amendments."
ALAMOGORDOFINANCIALCORP_12_16_1999-EX-1-AGENCY AGREEMENT.txt,Ip Ownership Assignment,1,0.49795866,62,"To such counsel's Actual Knowledge, upon the issuance of the Shares, good title to the Shares will be transferred by the Company to the purchasers thereof against payment therefor, subject to such claims as may be asserted against the purchasers thereof by third-party claimants."
ALAMOGORDOFINANCIALCORP_12_16_1999-EX-1-AGENCY AGREEMENT.txt,Ip Ownership Assignment,2,0.4617988,35,"To the best knowledge of the Company, the MHC and the Bank, upon the issuance of the Shares, good title to the Shares will be transferred from the Company to the purchasers thereof against payment therefor, subject to such claims as may be asserted against the purchasers thereof by third-party claimants. (u) No approval of any regulatory or supervisory or other public authority is required in connection with the execution and delivery of this Agreement or the issuance of the Shares, except for the approval of the Commission, the OTS and any necessary qualification, notification, registration or exemption under the securities or blue sky laws of the various states in which the Shares are to be offered, and except as may be required under the rules and regulations of the NASD. (v) The Accounting & Consulting Group L.L.P."
ALAMOGORDOFINANCIALCORP_12_16_1999-EX-1-AGENCY AGREEMENT.txt,Ip Ownership Assignment,3,0.36009595,39,"Appropriate arrangements have been made for placing the funds received from subscriptions for Shares in a special interest-bearing account with the Bank until all Shares are sold and paid for, with provision for refund to the purchasers in the event that the Offering is not completed for whatever reason or for delivery to the Company if all Shares are sold. (bb) The Company, the MHC and the Bank have not relied upon the Agent or its legal counsel or other advisors for any legal, tax or accounting advice in connection with the Offering. (cc) The Company is not required to be registered under the Investment Company Act of 1940, as amended. (dd) Any certificates signed by an officer of the Company, the MHC or the Bank pursuant to the conditions of this Agreement and delivered to the Agent or their counsel that refers to this Agreement shall be deemed to be a representation and warranty by the Company, the MHC or the Bank to the Agent as to the matters covered thereby with the same effect as if such representation and warranty were set forth herein. 14 Section 5. Representations and Warranties of the Agent."
ALAMOGORDOFINANCIALCORP_12_16_1999-EX-1-AGENCY AGREEMENT.txt,License Grant,1,0.3106488,17,"(e) The MHC is and, as of the Closing Date, will continue to be duly organized and validly existing as a federally chartered mutual holding company under the laws of the United States, duly authorized to conduct its business and own its property as described in the Registration Statement and the Prospectus; as of the Closing Date, the MHC will have obtained all licenses, permits and other governmental authorizations required for the conduct of its business except those that individually or in the aggregate would not materially adversely affect the financial condition, earnings, capital, assets or properties of the Company, MHC and Bank taken as a whole; as of the Closing Date, all such licenses, permits and governmental authorizations will be in full force and effect and the MHC will be in compliance therewith in all material respects; as of the Closing Date, the MHC will be duly qualified as a foreign corporation to transact business in each jurisdiction in which the failure to be so qualified in one or more of such jurisdictions would have a material adverse effect on the financial condition, earnings, capital, assets, properties or business of the Company, MHC and Bank considered as one enterprise."
ALAMOGORDOFINANCIALCORP_12_16_1999-EX-1-AGENCY AGREEMENT.txt,License Grant,2,0.3077066,19,"(i) The Bank has been organized and is a validly existing federally chartered savings and loan association in capital stock form of organization, duly authorized to conduct its business and own its property as described in the Registration Statement and the Prospectus; the Bank has obtained all material licenses, permits and other governmental authorizations currently required for the conduct of its business; all such licenses, permits and governmental authorizations are in full force and effect, and the Bank is in all material respects complying with all laws, rules, regulations and orders applicable to the operation of its business; the Bank is existing under the laws of the United States and is duly qualified as a foreign corporation to transact business and is in good standing in each jurisdiction in which its ownership of property or leasing of property or the conduct of its business requires such qualification, unless the failure to be so qualified in one or more of such jurisdictions would not have a material adverse effect on the condition, financial or otherwise, or the business, operations or income of the Bank."
ALAMOGORDOFINANCIALCORP_12_16_1999-EX-1-AGENCY AGREEMENT.txt,License Grant,3,0.276237,22,"(j) The Company has been duly incorporated and is validly existing as a corporation in good standing under the laws of the United States with corporate power and authority to own, lease and operate its properties and to conduct its business as described in the Registration Statement and the Prospectus, and at the Closing Date the Company will be qualified to do business as a foreign corporation in each jurisdiction in which the conduct of its business requires such qualification, except where the failure to so qualify would not have a material adverse effect on the condition, financial or otherwise, or the business, operations or income of the Company. The Company has obtained all material licenses, permits and other governmental authorizations currently required for the conduct of its business; all such licenses, permits and governmental authorizations are in full force and effect, and the Company is in all material respects complying with all laws, rules, regulations and orders applicable to the operation of its business. (k) The Bank is a member of the Federal Home Loan Bank of Dallas (""FHLB- Dallas"")."
ALAMOGORDOFINANCIALCORP_12_16_1999-EX-1-AGENCY AGREEMENT.txt,Post-Termination Services,1,0.46368313,101,"The respective indemnities of the Company, the MHC, the Bank and the Agent and the representations and warranties and other statements of the Company, the MHC, the Bank and the Agent set forth in or made pursuant to this Agreement shall remain in full force and effect, regardless of any termination or cancellation of this Agreement or any investigation made by or on behalf of the Agent, the Company, the MHC, the Bank or any controlling person referred to in Section 8 hereof, and shall survive the issuance of the Shares, and any successor or assign of the Agent, the Company, the MHC, the Bank, and any such controlling person shall be entitled to the benefit of the respective agreements, indemnities, warranties and representations. Section 11. Termination."
ALAMOGORDOFINANCIALCORP_12_16_1999-EX-1-AGENCY AGREEMENT.txt,Post-Termination Services,2,0.40343988,103,"(b) If any of the conditions specified in Section 7 shall not have been fulfilled when and as required by this Agreement unless waived in writing, or by the Closing Date, this Agreement and all of the Agent's obligations hereunder may be cancelled by the Agent by notifying the Company, the MHC and the Bank of such cancellation in writing or by telegram at any time at or prior to the Closing Date, and any such cancellation shall be without liability of any party to any other party except as otherwise provided in Sections 2(a), 6, 8 and 9 hereof. (c) If the Agent elects to terminate this Agreement as provided in this Section, the Company, the MHC and the Bank shall be notified promptly by telephone or telegram, confirmed by letter. The Company, the MHC and the Bank may terminate this Agreement in the event the Agent is in material breach of the representations and warranties or covenants contained in Section 5 and such breach has not been cured after the Company, the MHC and the Bank have provided the Agent with notice of such breach. This Agreement may also be terminated by mutual written consent of the parties hereto. Section 12. Notices."
ALAMOGORDOFINANCIALCORP_12_16_1999-EX-1-AGENCY AGREEMENT.txt,Post-Termination Services,3,0.3879155,6,"2 On the basis of the representations, warranties, and agreements herein contained, but subject to the terms and conditions herein set forth, the Agent accepts such appointment and agrees to consult with and advise the Company, the MHC and the Bank as to the matters set forth in the letter agreement (""Letter Agreement""), dated November 29, 1999 between the Company and the Agent (a copy of which is attached hereto as Exhibit A). It is acknowledged by the Company, the MHC and the Bank that the Agent shall not be required to take or purchase any Shares or be obligated to take any action which is inconsistent with all applicable laws, regulations, decisions or orders. The obligations of the Agent pursuant to this Agreement (other than those set forth in Sections 2(d), 8 and 9 hereof) shall terminate upon the completion or termination or abandonment of the Plan by the Company or upon termination of the Offering, but in no event later than the date (the ""End Date"") which is 45 days after the Closing Date (as hereinafter defined)."
ALAMOGORDOFINANCIALCORP_12_16_1999-EX-1-AGENCY AGREEMENT.txt,Audit Rights,1,0.41490054,83,"is a firm of independent public accounts within the meaning of Rule 101 of the Code of Professional Ethics of the American Institute of Certified Public Accountants and applicable regulations of the OTS and stating in effect that in its opinion the consolidated financial statements, schedules and related notes of the Bank as of September 30, 1999 and 1998 and for each of the three years in the period ended September 30, 1998, as are included in the Prospectus and covered by their opinion included therein, comply as to form in all material respects with the applicable accounting requirements and related published rules and regulations of the OTS and the 1933 Act; (ii) stating in effect that, on the basis of certain agreed upon procedures (but not an audit in accordance with generally accepted auditing standards) consisting of a reading of the latest available unaudited interim consolidated financial statements of the Bank prepared by the Bank, a reading of the minutes of the meetings of the Board of Directors and members of the Bank and consultations with officers of the Bank responsible for financial and accounting matters, nothing came to their attention which caused them to believe that: (A) the unaudited financial statements included in the Prospectus are not in conformity with the 1933 Act, applicable accounting requirements of the OTS and generally accepted accounting principles applied on a basis substantially consistent with that of the audited financial statements included in the Prospectus; or (b) during the period from the date of the latest unaudited consolidated financial statements included in the Prospectus to a specified date not more than three business days prior to the date of the Prospectus, except as has been described in the Prospectus, there was any increase in borrowings, other than normal deposit fluctuations, by the Bank; or (c) there was any decrease in the consolidated net assets of the Bank at the date of such letter as compared with amounts 30 shown in the latest unaudited consolidated statement of condition included in the Prospectus; and (iii) stating that, in addition to the audit referred to in their opinion included in the Prospectus and the performance of the procedures referred to in clause (ii) of this subsection (f), they have compared with the general accounting records of the Bank, which are subject to the internal controls of the Bank, the accounting system and other data prepared by the Bank, directly from such accounting records, to the extent specified in such letter, such amounts and/or percentages set forth in the Prospectus as the Agent may reasonably request; and they have reported on the results of such comparisons."
ALAMOGORDOFINANCIALCORP_12_16_1999-EX-1-AGENCY AGREEMENT.txt,Audit Rights,2,0.39243263,51,"(l) During the period of three years from the date hereof, the Company will furnish to the Agent: (i) as soon as practicable after such information is publicly available, a copy of each report of the Company furnished to or filed with the Commission under the 1934 Act or any national securities exchange or system on which any class of securities of the Company is listed or quoted (including, but not limited to, reports on Forms 10-K, 10-Q and 8-K and all proxy statements and annual reports to stockholders), (ii) a copy of each other non-confidential report of the Company mailed to its stockholders or filed with the Commission, the OTS or any other supervisory or regulatory authority or any national securities exchange or system on which any class of securities of the Company is listed or quoted, each press release and material news items and additional documents and information with respect to the Company, MHC or the Bank as the Agent may reasonably request; and (iii) from time to time, such other nonconfidential information concerning the Company, the MHC or the Bank as the Agent may reasonably request."
ALAMOGORDOFINANCIALCORP_12_16_1999-EX-1-AGENCY AGREEMENT.txt,Audit Rights,3,0.3165395,90,"(a) The Company, the MHC and the Bank jointly and severally agree to indemnify and hold harmless the Agent, its respective officers and directors, employees and agents, and each person, if any, who controls the Agent within the meaning of Section 15 of the 1933 Act or Section 20(a) of the 1934 Act, against any and all loss, liability, claim, damage or expense whatsoever (including but not limited to settlement expenses), joint or several, that the Agent or any of them may suffer or to which the Agent and any such persons may become subject under all applicable federal or state laws or otherwise, and to promptly reimburse the Agent and any such persons upon written demand for any expense (including reasonable fees and disbursements of counsel) incurred by the Agent or any of them in connection with investigating, preparing or defending any actions, proceedings or claims (whether commenced or threatened) to the extent such losses, claims, damages, liabilities or actions: (i) arise out of or are based upon any untrue statement or alleged untrue statement of a material fact contained in the Registration Statement (or any amendment or supplement thereto), preliminary or final Prospectus (or any amendment or supplement thereto), the MHC Application (or any amendment or supplement thereto), or any instrument or document executed by the Company, the MHC or the Bank or based upon written information supplied by the Company, the MHC or the Bank filed in any state or jurisdiction to register or qualify any or all of the Shares or to claim an exemption therefrom, or provided to any state or jurisdiction to exempt the Company as a broker-dealer or its officers, directors and employees as broker-dealers or agent, under the securities laws thereof (collectively, the ""Blue Sky Application""), or any document, advertisement, oral statement or communication (""Sales Information"") prepared, made or executed by or on behalf of the Company, the MHC or the Bank with their consent or based upon written or oral information furnished by or on behalf of the Company, the MHC or the Bank, whether or not filed in any jurisdiction, in order to qualify or register the Shares or to claim an exemption therefrom under the securities laws thereof; (ii) arise out of or are based upon the omission or alleged omission to state in any of the foregoing documents or information, a material fact required to be stated therein or necessary to make the statements therein, in light of the circumstances under which they were made, not misleading; or (iii) arise from any theory of liability whatsoever relating to or arising from or based upon the Registration Statement (or any amendment or supplement thereto), preliminary or final Prospectus (or any amendment or supplement thereto), the MHC Application 33 (or any amendment or supplement thereto), any Blue Sky Application or Sales Information or other documentation distributed in connection with the Offering; provided, however, that no indemnification is required under this paragraph (a) to the extent such losses, claims, damages, liabilities or actions arise out of or are based upon any untrue material statement or alleged untrue material statement in, or material omission or alleged material omission from, the Registration Statement (or any amendment or supplement thereto), preliminary or final Prospectus (or any amendment or supplement thereto), the MHC Application (or any amendment or supplement thereto), any Blue Sky Application or Sales Information made in reliance upon and in conformity with information furnished in writing to the Company, the MHC or the Bank by the Agent or its counsel regarding the Agent provided, that it is agreed and understood that the only information furnished in writing to the Company, the MHC or the Bank by the Agent regarding the Agent is set forth in the Prospectus; and, provided further, that such indemnification shall be to the extent permitted by the Commissioner, the OTS, the FDIC and the Board of Governors of the Federal Reserve."
